186630035	1296753	4.0	5
186630035	34874432	4.0	4
186630035	27092785	4.0	2
186630035	25964071	4.0	3
186630035	27038183	4.0	3
186630035	34943015	4.0	4
186630035	1418605	4.0	3
186630035	1301081	4.0	3
186630035	1437318	4.0	4
186630035	1299578	4.0	4
186630035	34825976	4.0	4
186630035	25826647	4.0	3
186630035	1309059	4.0	4
162149635	30359340	3.0	3
162149635	6837235	3.0	2
186630035	1291836	4.0	4
186630035	30447440	4.0	3
186630035	1292215	4.0	5
186630035	26662331	4.0	1
186630035	1292370	4.0	4
186630035	35231370	4.0	2
186630035	1291545	4.0	4
186630035	2149806	4.0	4
186630035	1323746	4.0	4
186630035	30382416	4.0	2
186630035	30394797	4.0	2
161246379	11525673	4.0	4
161246379	1301746	4.0	3
161246379	1298695	4.0	3
161246379	3792799	4.0	3
161246379	26954859	4.0	3
161246379	2153526	4.0	2
161246379	4206436	4.0	4
161246379	34947776	4.0	4
161246379	35294995	4.0	3
161246379	1298744	4.0	4
161246379	2027923	4.0	3
162149635	1308575	3.0	4
162149635	1294221	3.0	3
186630035	1291841	4.0	4
186630035	20276229	4.0	3
186630035	25881247	4.0	4
186630035	4935242	4.0	4
186630035	3001114	4.0	4
186630035	25845392	4.0	3
186630035	1296078	4.0	4
186630035	1919245	4.0	4
186630035	25909236	4.0	3
186630035	30337388	4.0	4
161246379	3642866	4.0	3
161246379	3529375	4.0	4
161246379	2160611	4.0	3
161246379	33457594	4.0	3
161246379	6768838	4.0	4
161246379	2132412	4.0	4
161246379	1835843	4.0	3
161246379	1309088	4.0	3
161246379	25966085	4.0	4
162149635	1479819	3.0	2
162149635	3529375	3.0	3
162149635	4842877	3.0	3
162149635	1302455	3.0	3
162149635	35599326	3.0	1
162149635	27124695	3.0	4
186630035	24745500	4.0	4
186630035	26741632	4.0	4
186630035	4746257	4.0	3
186630035	2336785	4.0	3
186630035	4718369	4.0	4
186630035	25958717	4.0	4
186630035	30331149	4.0	4
186630035	30435124	4.0	3
186630035	25828589	4.0	2
186630035	35087699	4.0	3
186630035	30272753	4.0	2
161246379	1297866	4.0	3
161246379	26633257	4.0	4
161246379	26337866	4.0	4
161246379	1298112	4.0	4
